id,title,id_cate,categorySlug,gender,image1,price,slug,colors,size,descriptions,sale,active,image2
RRgDYh5cy7,Áo Tanktop Ba Lỗ Nam Thêu Chữ Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25tto002-lightbrown-1-jpg-qqek.webp,274000,ao-thun-ba-lo-nam-hinh-theu-fitted-002,white,"S,M,L,XL","Áo tanktop ba lỗ nam thêu chữ form fitted mang đến phong cách thể thao khỏe khoắn kết hợp cùng nét hiện đại. Thiết kế đơn giản nhưng nổi bật với chi tiết thêu tinh tế, phù hợp để diện khi tập luyện, đi chơi hoặc trong các outfit mùa hè năng động.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25tto002-lightbrown-1-jpg-qqek.webp
ktGIr2sjjq,Áo Khoác Bomber Nam Da Lộn Form Regular,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25jac005-white-sand-1-jpg-lih5.webp,785000,10f25jac005,white,"S,M,L,XL","Áo khoác bomber nam form regular mang đậm phong cách hiện đại pha chút cổ điển, dễ dàng trở thành điểm nhấn trong mọi outfit. Thiết kế dáng ngắn, bo gấu và cổ tay mang lại vẻ năng động, nam tính, phù hợp cho nhiều dịp từ đi làm, dạo phố đến những buổi gặp gỡ cuối tuần.",39,1,https://media.routine.vn/1200x1500/prod/variant/10f25jac005-white-sand-1-jpg-lih5.webp
A1OCYQq1Tr,Áo Khoác Bomber Nam Phối Rib Friend Club Regular,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25jac001-white-1-jpg-8akf.webp,736000,ao-khoac-bomber-nam-phoi-rib-in-sau-lung-regular-001,white,"S,M,L,XL","Áo khoác bomber nam phối rib form regular là lựa chọn lý tưởng cho phong cách năng động, cá tính nhưng vẫn giữ được sự gọn gàng và thoải mái. Thiết kế hiện đại với chi tiết bo rib ở cổ, tay và gấu áo tạo điểm nhấn nổi bật, phù hợp cho nhiều dịp sử dụng từ đi làm, đi học đến dạo phố.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25jac001-white-1-jpg-8akf.webp
LXfY62DYrR,Áo Khoác Bomber Nam Da Lộn Form Regular,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25jac005-white-sand-1-jpg-lih5.webp,785000,10f25jac005,white,"S,M,L,XL","Áo khoác bomber nam form regular mang đậm phong cách hiện đại pha chút cổ điển, dễ dàng trở thành điểm nhấn trong mọi outfit. Thiết kế dáng ngắn, bo gấu và cổ tay mang lại vẻ năng động, nam tính, phù hợp cho nhiều dịp từ đi làm, dạo phố đến những buổi gặp gỡ cuối tuần.",50,1,https://media.routine.vn/1200x1500/prod/variant/10f25jac005-white-sand-1-jpg-lih5.webp
3w6H9emCsZ,Áo Khoác Bomber Nam Phối Rib Friend Club Regular,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25jac001-white-1-jpg-8akf.webp,736000,ao-khoac-bomber-nam-phoi-rib-in-sau-lung-regular-001,white,"S,M,L,XL","Áo khoác bomber nam phối rib form regular là lựa chọn lý tưởng cho phong cách năng động, cá tính nhưng vẫn giữ được sự gọn gàng và thoải mái. Thiết kế hiện đại với chi tiết bo rib ở cổ, tay và gấu áo tạo điểm nhấn nổi bật, phù hợp cho nhiều dịp sử dụng từ đi làm, đi học đến dạo phố.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25jac001-white-1-jpg-8akf.webp
Zp9Os87jf0,Áo Dệt Kim Nữ Tay Ngắn Cổ Tròn Form Regular,erqewew,clothes,0,https://media.routine.vn/1200x1500/prod/variant/10f25kniw002-mint-1-jpg-8dh0.webp,422000,ao-det-kim-tay-ngan-nu-co-tron-regular-002,green,"S,M,L","Áo dệt kim tay ngắn nữ cổ tròn form regular là item lý tưởng dành cho những cô nàng yêu thích phong cách đơn giản, thanh lịch nhưng vẫn trẻ trung. Với thiết kế cổ tròn cơ bản, tay ngắn tiện dụng và bảng màu trung tính gồm mint và beige, sản phẩm dễ dàng kết hợp với nhiều trang phục khác nhau, từ chân váy đến quần jeans hay kaki.",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25kniw002-mint-1-jpg-8dh0.webp
bFLyiFjYQk,Áo Polo Dệt Kim Nữ Tay Ngắn Form Regular,erqewew,clothes,0,https://media.routine.vn/1200x1500/prod/variant/10f25kniw003-pink-1-jpg-1rrf.webp,490000,ao-polo-det-kim-nu-tay-ngan-regular-003,pink,"S,M,L","Mẫu áo polo dệt kim nữ tay ngắn cổ polo là sự kết hợp tinh tế giữa phong cách thể thao và vẻ đẹp thanh lịch, hiện đại. Với thiết kế cổ bẻ đặc trưng cùng phần tay ngắn năng động, sản phẩm mang đến vẻ ngoài trẻ trung, dễ phối và phù hợp trong nhiều dịp từ đi học, đi làm đến dạo phố cuối tuần.",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25kniw003-pink-1-jpg-1rrf.webp
5jfFlZK1dw,Áo Polo Nam Tay Ngắn Dệt Jacquard Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol017-dark-sapphire-1-jpg-zdp9.webp,589000,10f25pol017,blue,"S,M,L,XL,XXL","Áo polo nam tay ngắn phối tape này là một lựa chọn lý tưởng cho quý ông yêu thích sự kết hợp giữa phong cách hiện đại, tinh tế và sự thoải mái vượt trội.",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol017-dark-sapphire-1-jpg-zdp9.webp
YXTAecfrvv,Áo Polo Nam Cotton Tay Ngắn Dệt Lưới Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol018-beige-1-jpg-9cu9.webp,589000,10f25pol018,brown,"S,M,L,XL,XXL","Áo polo nam tay ngắn phối tape này là một lựa chọn hoàn hảo cho phong cách trẻ trung, năng động và vẫn giữ được nét thanh lịch.",12,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol018-beige-1-jpg-9cu9.webp
QtKoGwsnUT,Áo Polo Nam Tay Ngắn Cotton Phối Màu Form Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25pol022-red-orche-tofu-1-jpg-ss6n.webp,540000,ao-polo-tay-ngan-nam-loose-022,red,"S,M,L,XL","Áo polo nam tay ngắn là lựa chọn hoàn hảo cho phong cách trẻ trung nhưng vẫn giữ được nét lịch sự. Với thiết kế cổ polo đặc trưng, sản phẩm phù hợp cho nhiều dịp khác nhau, từ đi làm, gặp gỡ bạn bè cho đến dạo phố hàng ngày.",38,1,https://media.routine.vn/1200x1500/prod/variant/10s25pol022-red-orche-tofu-1-jpg-ss6n.webp
T2dylgbP36,Áo Polo Nam Tay Ngắn Cotton Phối Viền Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25pol013-dark-sapphire-1-jpg-57vp.webp,540000,ao-polo-tay-ngan-nam-phoi-co-va-nep-fitted-013,blue,"S,M,L,XL,XXL","Áo polo nam tay ngắn phối viền form fitted mang đến vẻ ngoài lịch sự nhưng vẫn trẻ trung, dễ dàng ứng dụng trong nhiều hoàn cảnh. Chi tiết phối viền tinh tế tạo điểm nhấn nổi bật, giúp outfit thêm phần cuốn hút.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25pol013-dark-sapphire-1-jpg-57vp.webp
83dv05sI0q,Áo Polo Nam Tay Ngắn Dệt Jacquard Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol017-dark-sapphire-1-jpg-zdp9.webp,589000,10f25pol017,blue,"S,M,L,XL,XXL","Áo polo nam tay ngắn phối tape này là một lựa chọn lý tưởng cho quý ông yêu thích sự kết hợp giữa phong cách hiện đại, tinh tế và sự thoải mái vượt trội.",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol017-dark-sapphire-1-jpg-zdp9.webp
oEiuKtTHiL,Áo Polo Nam Cotton Tay Ngắn Dệt Lưới Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol018-beige-1-jpg-9cu9.webp,589000,10f25pol018,brown,"S,M,L,XL,XXL","Áo polo nam tay ngắn phối tape này là một lựa chọn hoàn hảo cho phong cách trẻ trung, năng động và vẫn giữ được nét thanh lịch.",19,1,https://media.routine.vn/1200x1500/prod/variant/10f25pol018-beige-1-jpg-9cu9.webp
W2pTmRy94S,Áo Polo Nam Tay Ngắn Cotton Phối Màu Form Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25pol022-red-orche-tofu-1-jpg-ss6n.webp,540000,ao-polo-tay-ngan-nam-loose-022,red,"S,M,L,XL","Áo polo nam tay ngắn là lựa chọn hoàn hảo cho phong cách trẻ trung nhưng vẫn giữ được nét lịch sự. Với thiết kế cổ polo đặc trưng, sản phẩm phù hợp cho nhiều dịp khác nhau, từ đi làm, gặp gỡ bạn bè cho đến dạo phố hàng ngày.",0,1,https://media.routine.vn/1200x1500/prod/variant/10s25pol022-red-orche-tofu-1-jpg-ss6n.webp
vMvfgiGD85,Áo Sơ Mi Tay Dài Nam Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl008-blue-1-jpg-6dvv.webp,589000,ao-so-mi-tay-dai-nam-fitted-008,blue,"S,M,L,XL,XXL","Áo sơ mi tay dài nam form fitted mang phong cách thanh lịch và tinh tế, là lựa chọn hoàn hảo cho môi trường công sở hoặc những dịp cần sự chỉn chu. Thiết kế cổ bẻ, hàng cúc cổ điển kết hợp với dáng ôm vừa vặn giúp tôn lên vóc dáng nam tính, tạo vẻ ngoài gọn gàng và hiện đại.",0,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl008-blue-1-jpg-6dvv.webp
Fw1L6ts3xg,Áo Sơ Mi Nam Trắng Tay Dài Cafe Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl021-whitel-1-jpg-jp8f.webp,441000,ao-so-mi-tay-dai-nam-fitted-021,white,"S,M,L,XL,XXL","Chiếc áo sơ mi nam trắng dài tay này là một item không thể thiếu trong tủ đồ của quý ông, mang đến vẻ ngoài lịch lãm, hiện đại và tinh tế.",48,1,https://media.routine.vn/1200x1500/prod/variant/10f25shl021-whitel-1-jpg-jp8f.webp
CHeAZjwuUk,Áo Cuban Denim Nam Tay Ngắn Form Loose,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh005-l-indigo-1-jpg-4wbv.webp,589000,ao-cuban-denim-tay-ngan-nam-loose-005,blue,"S,M,L,XL","Áo sơ mi Cuban denim nam tay ngắn form loose là lựa chọn hoàn hảo cho phong cách phóng khoáng và cá tính. Thiết kế cổ Cuban đặc trưng mang hơi thở retro hiện đại, kết hợp cùng chất liệu denim bền chắc, tạo nên một item vừa thoải mái vừa thời trang.",42,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh005-l-indigo-1-jpg-4wbv.webp
qikiFkK4Zb,Áo Sơ Mi Nam Tay Dài Cotton Túi Ngực Thêu Chữ,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25shl030-white-1-jpg-pbn7.webp,540000,ao-so-mi-tay-dai-nam-theu-tui-loose-030,white,"S,M,L,XL","Áo sơ mi nam tay dài form loose mang phong cách trẻ trung, phóng khoáng với dáng rộng thoải mái. Thiết kế cổ điển dễ mặc, phù hợp cả đi làm lẫn đi chơi.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25shl030-white-1-jpg-pbn7.webp
o9VbPV2rfx,Áo Sơ Mi Nam Ngắn Tay Cotton Kẻ Sọc Form Boxy,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/product/10s25shs007-blue-1-jpg-5r24.webp,490000,ao-so-mi-tay-ngan-nam-ke-soc-boxy-007,blue,"S,M,L","Áo sơ mi nam ngắn tay kẻ sọc form boxy mang phong cách trẻ trung, cá tính. Thiết kế kẻ sọc năng động, dễ phối cùng nhiều trang phục, phù hợp cho đi học, đi làm hay đi chơi.",0,1,https://media.routine.vn/1200x1500/prod/product/10s25shs007-blue-1-jpg-5r24.webp
ProYhdBdQC,Áo Sơ Mi Denim Sợi Chuối Tay Ngắn Form Fitted,erqewew,clothes,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh011-l-blue-1-jpg-uee7.webp,638000,10s25dsh011,blue,"S,M,L,XL",Mẫu áo sơ mi denim tay ngắn nam form fitted là lựa chọn hoàn hảo cho những ai yêu thích phong cách trẻ trung nhưng vẫn muốn giữ sự tinh tế và bền bỉ. Sản phẩm không chỉ nổi bật bởi chất liệu độc đáo mà còn mang đến trải nghiệm mặc thoải mái suốt cả ngày.,48,1,https://media.routine.vn/1200x1500/prod/variant/10s25dsh011-l-blue-1-jpg-uee7.webp
